Exercise,Category,Weight_lbs,Reps,Volume
Barbell Bench Press,Push,50.0,8,400.0
Barbell Bench Press,Push,50.0,10,500.0
Barbell Bench Press,Push,50.0,10,500.0
Barbell Bench Press,Push,50.0,12,600.0
Barbell Bench Press,Push,50.0,10,500.0
Barbell Bench Press,Push,50.0,10,500.0
Barbell Bench Press,Push,50.0,12,600.0
Barbell Bench Press,Push,50.0,12,600.0
Barbell Bench Press,Push,45.0,12,540.0
Barbell Bench Press,Push,50.0,8,400.0
Barbell Bench Press,Push,50.0,10,500.0
Barbell Bench Press,Push,50.0,12,600.0
Barbell Bench Press,Push,50.0,10,500.0
Barbell Bench Press,Push,50.0,12,600.0
